SrNano_6
Absolute Time,Elapsed Time,Mg24,Ca43,Ca44,Mn55,Zn66,Sr88,Ba137,TotalBeam,Mg24_CPS,Ca43_CPS,Ca44_CPS,Mn55_CPS,Zn66_CPS,Sr88_CPS,Ba137_CPS,TotalBeam_CPS,Mg24_CPS/Ca43_CPS,Ca44_CPS/Ca43_CPS,Mn55_CPS/Ca43_CPS,Zn66_CPS/Ca43_CPS,Sr88_CPS/Ca43_CPS,Ba137_CPS/Ca43_CPS,InternalStandard_Ca,Mg24_ppm,Ca44_ppm,Mn55_ppm,Zn66_ppm,Sr88_ppm,Ba137_ppm,
2023-05-23 14:09:32.559,0,881355,3.394e+06,5.58767e+07,121836,172184,3.95251e+06,9612.6,6.44082e+07,881105,3.39389e+06,5.51149e+07,76661.8,171712,3.95246e+06,9613.56,6.36003e+07,0.259615,16.2395,0.0225882,0.0505947,1.16458,0.00283261,,,,,,,,
2023-05-23 14:09:33.535,0.9754,875365,3.26826e+06,5.38903e+07,116992,139337,4.14628e+06,9892.76,6.24465e+07,875114,3.26815e+06,5.31285e+07,71817.9,138866,4.14624e+06,9893.72,6.16386e+07,0.267771,16.2565,0.0219751,0.0424907,1.26868,0.00302732,,,,,,,,
2023-05-23 14:09:34.510,1.9502,788354,3.36228e+06,5.59528e+07,114568,132320,4.03544e+06,15496.8,6.44013e+07,788104,3.36217e+06,5.5191e+07,69392.9,131849,4.0354e+06,15497.7,6.35933e+07,0.234404,16.4153,0.0206393,0.0392154,1.20024,0.00460945,,,,,,,,
2023-05-23 14:09:35.484,2.9251,831676,3.26261e+06,5.68004e+07,119149,127923,3.9295e+06,9142.36,6.50804e+07,831426,3.26249e+06,5.60386e+07,73974.1,127452,3.92945e+06,9143.31,6.42725e+07,0.254844,17.1766,0.0226741,0.0390658,1.20443,0.00280255,,,,,,,,
2023-05-23 14:09:36.459,3.8999,904006,3.24505e+06,5.85318e+07,111587,130645,4.0653e+06,9912.77,6.69983e+07,903756,3.24494e+06,5.77699e+07,66411.6,130174,4.06525e+06,9913.71,6.61903e+07,0.278513,17.8031,0.0204662,0.040116,1.2528,0.00305513,,,,,,,,
2023-05-23 14:09:37.435,4.8753,767779,3.26008e+06,5.35237e+07,115946,128390,4.10154e+06,7971.79,6.19054e+07,767528,3.25996e+06,5.27619e+07,70770.8,127918,4.1015e+06,7972.72,6.10975e+07,0.235441,16.1848,0.0217091,0.0392392,1.25814,0.00244565,,,,,,,,
2023-05-23 14:09:38.409,5.8501,798484,3.29825e+06,5.59068e+07,102590,131118,4.09262e+06,41037.4,6.43709e+07,798233,3.29814e+06,5.5145e+07,57414.3,130647,4.09258e+06,41038.4,6.3563e+07,0.242025,16.72,0.0174081,0.0396124,1.24088,0.0124429,,,,,,,,
2023-05-23 14:09:39.384,6.825,788739,3.39006e+06,5.63121e+07,105827,149165,3.95412e+06,8612.09,6.47087e+07,788489,3.38994e+06,5.55503e+07,60652.1,148694,3.95408e+06,8613,6.39007e+07,0.232596,16.3868,0.0178918,0.0438633,1.16641,0.00254075,,,,,,,,
2023-05-23 14:09:40.360,7.8003,894566,3.31531e+06,5.8357e+07,150191,186540,4.07381e+06,27010.6,6.70044e+07,894316,3.31519e+06,5.75951e+07,105016,186069,4.07377e+06,27011.5,6.61964e+07,0.269763,17.3731,0.0316772,0.056126,1.22882,0.00814778,,,,,,,,
2023-05-23 14:09:41.335,8.7752,1.20213e+06,3.28233e+06,5.41961e+07,169765,199367,3.99912e+06,21192.7,6.307e+07,1.20188e+06,3.28221e+06,5.34342e+07,124590,198896,3.99907e+06,21193.6,6.2262e+07,0.366181,16.2799,0.0379592,0.0605981,1.21841,0.0064571,,,,,,,,
