D:\Agilent\ICPMH\1\DATA\Rachel Johnson\PC_LGH_20230328_#2.b\PCBN_PCBO_PCBP.d
Intensity Vs Time,CPS
Acquired      : 2023-03-28 16:42:53 using Batch PC_LGH_20230328_#2.b
Time [Sec],Mg24,Ca43,Ca44,Mn55,Zn66,Sr88,Ba137
72.1608,223895.86,100294.55,2174469.97,472888.52,126231.91,472354.52,43583.51
73.1356,206576.62,99456.89,2085183.12,526405.14,121490.85,447773.39,42039.79
74.1110,208092.58,98954.29,2005953.17,540883.26,114342.95,476899.17,46160.02
75.0858,225443.53,107164.85,2072895.88,511482.43,109842.95,431728.12,38301.33
76.0607,208547.40,101534.38,2089032.47,540197.48,117592.89,495827.96,38581.94
77.0355,240967.20,96106.56,1978208.90,465526.75,128722.03,457589.68,42099.93
78.0109,208557.50,95570.55,1948298.48,482851.13,124976.91,447558.27,42320.45
78.9857,229459.86,108572.72,1979507.60,527230.86,115178.02,415952.18,37459.54
79.9606,193443.16,92723.32,2051841.97,506217.53,117106.54,433406.75,40416.02
80.9359,210558.81,99590.91,2046937.42,473329.36,107100.53,439313.86,42190.15
81.9108,195675.23,95939.05,2054418.28,515279.61,118454.94,443881.17,45779.04
82.8856,226445.04,100026.50,2001065.67,509633.73,128544.15,445304.84,44425.60
83.8610,216331.36,110852.35,2080321.14,493656.86,129960.49,460152.22,43693.78
84.8358,238466.79,95369.55,2042947.05,521399.93,124111.21,440511.95,45317.85
85.8107,207819.66,98049.66,2082183.90,527820.24,125926.53,427414.95,37259.11
86.7855,215340.50,92019.93,2181173.23,479661.86,122379.92,441710.03,44586.00
87.7609,230896.70,87331.45,1991871.66,523506.65,129675.20,469041.71,42551.01
88.7357,216442.56,93091.77,2050744.06,503092.90,122141.71,457917.69,40015.11
89.7106,203848.16,102238.10,2058130.91,534856.18,121011.11,460746.79,43683.76
90.6860,208840.49,100227.54,2225660.73,555224.87,121500.93,459824.21,39574.13
91.6608,214986.64,98920.79,1957701.87,441445.56,119196.26,411391.67,39844.73
92.6357,220386.31,108840.90,1897257.20,501635.03,113823.13,407987.45,40185.50
93.6105,205545.82,92187.40,2123646.66,471692.74,122296.05,449822.30,40826.96
94.5859,213894.76,104583.99,2073408.64,539751.75,125852.73,433764.95,37108.80
95.5607,218151.44,91785.48,1937630.51,457689.83,117881.35,454720.11,40295.75
96.5356,235855.41,103243.45,2137394.84,511342.06,123940.09,444485.42,44475.72
97.5109,212863.59,93426.71,2031540.02,514676.91,113484.45,460900.54,39193.28
98.4858,230279.45,81171.20,1844353.30,388249.59,51019.06,117623.39,9912.77
99.4606,43618.65,13504.75,670209.06,82036.70,8495.25,18579.34,1470.06
100.4360,4740.58,2733.53,377646.98,20100.62,1420.05,1700.08,180.00
101.4108,780.02,900.02,353968.60,15102.67,503.34,1890.10,10.00
102.3857,70.00,0.00,357601.67,14628.96,503.34,180.00,0.00
103.3605,60.00,0.00,354817.36,14165.28,423.34,40.00,0.00
104.3359,150.00,0.00,351286.60,13865.05,393.34,20.00,0.00
105.3107,50.00,66.67,344091.32,14262.02,370.00,50.00,0.00
106.2856,40.00,0.00,355021.04,14205.31,420.00,0.00,0.00
107.2609,120.00,166.67,358178.98,14305.38,470.01,30.00,0.00
108.2358,170.00,233.33,355869.90,15322.84,13164.60,137661.17,22223.92
109.2106,126307.05,58589.23,1324003.94,327403.14,104331.70,366031.75,33321.29
110.1860,182014.10,88034.66,1843426.21,455477.59,119545.13,400536.99,37740.13
111.1608,193079.57,85355.94,1872409.55,484468.11,107854.82,418406.71,35826.16
112.1357,190130.88,98116.68,1861207.59,429281.52,106074.75,435535.89,41137.68
113.1105,182559.14,96709.56,1979601.61,480013.89,131668.98,419357.92,39874.79
114.0859,201625.27,104583.99,1907502.26,489241.44,116593.35,406116.87,40215.56
115.0607,217393.04,91450.57,1893574.52,488502.85,109427.20,459403.90,37730.11
116.0356,215107.95,96173.55,1908523.35,478038.26,125530.58,432792.57,39884.82
117.0109,212560.31,98920.79,1993704.47,481323.05,119229.81,393416.28,38040.77
117.9858,221913.45,88637.42,2017108.25,517974.82,113799.67,425557.26,40295.75
118.9606,230856.19,97178.59,2092937.29,481644.36,108666.14,425843.82,40385.95
119.9360,193402.75,91885.96,1896432.72,486584.51,113380.49,430858.12,38481.72
120.9109,209649.10,90110.92,2056844.84,451077.85,112726.57,427327.49,39764.55
121.8857,254932.81,100629.63,1935528.56,455743.89,122973.78,411821.13,36838.23
122.8605,195149.98,93996.14,1981306.29,457689.83,109564.66,412281.20,38682.16
123.8359,212782.71,86762.21,1889396.27,495008.00,122497.34,433130.35,38912.66
124.8108,192221.17,94130.13,1950250.96,479224.41,111338.35,434931.95,35776.06
125.7866,224249.88,102606.72,1846703.04,478417.64,115416.13,441361.87,41969.62
126.7620,210255.56,90546.29,1913415.15,446133.11,112156.52,429660.70,37519.67
127.7368,229470.00,88336.04,2070388.07,468201.23,94952.25,405861.32,41458.42
128.7117,195897.44,94967.57,1977350.17,446931.54,117039.46,420616.05,40245.63
129.6865,196271.17,99456.89,1934041.84,488205.29,108595.72,422129.99,40045.18
130.6619,201635.37,91350.08,2044767.10,501833.52,116717.46,424513.74,40205.54
131.6367,213288.16,85288.97,1831600.56,463641.44,117951.79,447988.59,37659.96
132.6116,231696.03,91551.04,2153838.98,487316.28,105474.73,405891.99,37569.68
133.5869,184345.82,94431.61,1848523.09,467736.65,115446.32,430059.80,39744.50
134.5618,202534.61,93058.26,2000450.44,500375.87,124775.58,419531.83,34643.82
135.5366,205656.95,105153.78,1911607.99,468795.66,110382.76,445612.10,44565.95
136.5120,229591.40,102104.05,2050983.25,456447.12,111153.93,416320.31,36367.27
137.4868,200604.86,100026.50,1882504.99,457604.41,99381.71,390066.40,39313.54
138.4617,221195.37,92555.84,1950725.17,483886.91,118495.19,415614.68,37419.46
139.4365,175222.40,87264.50,1992055.38,468296.96,121625.05,425454.95,35836.19
140.4119,213369.04,89843.00,2013387.02,464508.94,116023.19,431891.83,40335.84
141.3867,218110.97,101065.24,2037440.02,460619.25,123846.14,418907.85,38682.16
142.3616,200837.18,92555.84,1958449.52,493519.98,126688.29,437204.68,41769.15
143.3370,203454.08,95436.57,2050526.09,515690.55,112709.81,423286.05,44716.33
144.3118,216847.01,101500.86,1963533.51,532395.24,113947.24,319428.88,27321.04
145.2867,117693.50,43014.79,1147028.02,205168.33,26198.22,64693.11,5620.89
146.2615,17207.58,7868.28,451756.39,47990.52,2786.87,6141.02,490.01
147.2369,2290.13,766.68,375879.44,18302.14,676.68,1090.03,60.00
148.2117,270.00,66.67,359469.41,14545.56,490.01,230.00,0.00
149.1866,180.00,0.00,346534.68,14532.22,390.00,120.00,0.00
150.1619,160.00,66.67,351829.73,14098.56,326.67,20.00,0.00
151.1368,70.00,133.33,344532.43,14488.85,366.67,120.00,10.00
152.1116,70.00,66.67,339578.65,14292.04,326.67,20.00,0.00
153.0870,50.00,0.00,358416.67,14138.59,330.00,80.00,0.00
154.0618,40.00,33.33,338459.12,14325.40,3560.34,60.00,0.00
155.0367,320.00,66.67,359231.65,41455.17,40463.45,236768.12,25989.04
