"Run_ID","Sample_type","Capture_date","Section","Sex","FL_cm","CWT","CWT_Release_Location","CWT_Hatchery_Location","CWT_Age","Age_all","Known_Origin","region_mean","region_sd","grouped_classification","simplified_classification","AME","BAT","BUT","CNH","DEE","FEA","FRH","MEH","MER","MIL","MOH","MOK","NIH","PUC","SAC","STA","THE","TUO","YUB"
"PC_2016_04_C4_71R.run","Adult","2016-12-28","B","Female","65.41","N/A","N/A","N/A",NA,3,"",0.707380968461539,5.43063736047906e-05,"FRHMOH","Hatchery","0","0","0","0","0","0","0.262","0","0","0","0.706","0.01","0","0","0","0","0","0.01","0.012"
"PC_2016_05_A1_74R.run","Adult","2016-12-29","B","Male","60.33","N/A","N/A","N/A",NA,2,"",0.707382969166667,3.10073597037303e-05,"FRHMOH","Hatchery","0","0","0","0","0","0","0.262","0","0","0","0.706","0.01","0","0","0","0","0","0.01","0.012"
"PC_2016_05_A2_75R.run","Adult","2016-12-29","B","Male","67.63","N/A","N/A","N/A",NA,3,"",0.707517693529412,1.87964271675465e-05,"MOH","Hatchery","0","0","0","0","0","0","0.002","0","0","0","0.96","0","0","0","0","0","0","0.024","0.014"
"PC_2016_05_A3_76R.run","Adult","2016-12-29","B","Female","60.96","N/A","N/A","N/A",NA,2,"",0.707379836363636,4.38065101212581e-05,"FRHMOH","Hatchery","0","0","0","0","0","0","0.264","0","0","0","0.704","0.01","0","0","0","0","0","0.01","0.012"
"PC_2016_05_A4_78R.run","Adult","2016-12-29","B","Male","61.28","N/A","N/A","N/A",NA,2,"",0.707153108292683,2.08228092368054e-05,"FRH","Hatchery","0","0","0","0","0","0","0.816","0","0","0","0","0.182","0","0","0","0","0","0","0.002"
"PC_2016_05_B1_79R.run","Adult","2016-12-29","B","Male","92.71","N/A","N/A","N/A",NA,3,"",0.707485112,2.69994262317126e-05,"MOH","Hatchery","0","0","0","0","0","0","0.018","0","0","0","0.946","0","0","0","0","0","0","0.024","0.012"
"PC_2016_05_B2_80R.run","Adult","2016-12-29","B","Unknown","62.87","N/A","N/A","N/A",NA,2,"",0.707299802727273,2.29200105108801e-05,"FRHMOH","Hatchery","0","0","0","0","0","0","0.522","0","0","0","0.432","0.032","0","0","0","0","0","0.008","0.006"
"PC_2016_05_B3_81R.run","Adult","2016-12-30","C","Male","66.99","N/A","N/A","N/A",NA,2,"",0.707376294375,2.65551463862839e-05,"FRHMOH","Hatchery","0","0","0","0","0","0","0.264","0","0","0","0.704","0.01","0","0","0","0","0","0.01","0.012"
"PC_2016_05_B4_82R.run","Adult","2016-12-30","C","Male","64.14","N/A","N/A","N/A",NA,2,"",0.707254950526316,2.15779865896405e-05,"FRH","Hatchery","0","0","0","0","0","0","0.88","0","0","0","0.04","0.074","0","0","0","0","0","0.002","0.004"
"PC_2016_05_C1_84R.run","Adult","2016-12-30","C","Male","N/A","N/A","N/A","N/A",NA,3,"",0.707346476153846,1.76324239865277e-05,"FRHMOH","Hatchery","0","0","0","0","0","0","0.374","0","0","0","0.598","0.01","0","0","0","0","0","0.01","0.008"
"PC_2016_05_C2_85R.run","Adult","2016-12-30","C","Male","66.04","N/A","N/A","N/A",NA,3,"",0.707514296470588,0.000116117430320611,"MOH","Hatchery","0","0","0","0","0","0","0.004","0","0","0","0.958","0","0","0","0","0","0","0.024","0.014"
"PC_2016_05_C3_86R.run","Adult","2016-12-30","C","Female","59.06","N/A","N/A","N/A",NA,2,"",0.707506768055556,3.60625889902836e-05,"MOH","Hatchery","0","0","0","0","0","0","0.006","0","0","0","0.956","0","0","0","0","0","0","0.024","0.014"
