PC_Samples_2
Absolute Time,Elapsed Time,Mg24,Ca43,Ca44,Mn55,Zn66,Sr88,Ba137,TotalBeam,Mg24_CPS,Ca43_CPS,Ca44_CPS,Mn55_CPS,Zn66_CPS,Sr88_CPS,Ba137_CPS,TotalBeam_CPS,Mg24_CPS/Ca43_CPS,Ca44_CPS/Ca43_CPS,Mn55_CPS/Ca43_CPS,Zn66_CPS/Ca43_CPS,Sr88_CPS/Ca43_CPS,Ba137_CPS/Ca43_CPS,InternalStandard_Ca,Mg24_ppm,Ca44_ppm,Mn55_ppm,Zn66_ppm,Sr88_ppm,Ba137_ppm,
2023-03-28 14:05:43.916,0,2.10237e+06,1.45167e+07,2.26382e+08,220367,51727.7,2.61709e+07,9682.64,2.69453e+08,2.10221e+06,1.45165e+07,2.25918e+08,203265,51271.6,2.61708e+07,9682.66,2.6897e+08,0.144815,15.5629,0.0140024,0.00353196,1.80284,0.000667012,38.8,110.704,372608,5.12865,6.5631,947.932,3.45346,
2023-03-28 14:05:44.891,0.9748,2.05691e+06,1.49647e+07,2.3004e+08,196518,62272.9,2.64298e+07,10813.3,2.73761e+08,2.05675e+06,1.49645e+07,2.29577e+08,179415,61816.8,2.64297e+07,10813.3,2.73278e+08,0.137442,15.3414,0.0119893,0.00413089,1.76616,0.000722597,38.8,105.069,367305,4.39158,7.6783,928.651,3.74172,
2023-03-28 14:05:45.866,1.9497,1.96416e+06,1.45264e+07,2.28882e+08,162999,75444.3,2.53134e+07,10643.2,2.70935e+08,1.964e+06,1.45262e+07,2.28418e+08,145896,74988.2,2.53133e+07,10643.2,2.70451e+08,0.135204,15.7245,0.0100436,0.00516226,1.74259,0.000732689,38.8,103.361,376476,3.67908,9.59821,916.265,3.79445,
2023-03-28 14:05:46.841,2.925,1.82872e+06,1.47199e+07,2.34792e+08,138651,99405.1,2.47693e+07,12774.6,2.76361e+08,1.82855e+06,1.47197e+07,2.34329e+08,121546,98949.1,2.47692e+07,12774.6,2.75878e+08,0.124225,15.9194,0.00825735,0.00672221,1.68272,0.000867859,38.8,94.9694,381139,3.02493,12.5023,884.794,4.49502,
2023-03-28 14:05:47.816,3.8999,1.67336e+06,1.43432e+07,2.29495e+08,120404,139448,2.48595e+07,13695.3,2.70644e+08,1.6732e+06,1.4343e+07,2.29031e+08,103298,138992,2.48595e+07,13695.3,2.70161e+08,0.116656,15.9682,0.00720198,0.0096906,1.73321,0.000954846,38.8,89.1852,382306,2.63847,18.0284,911.348,4.94618,
2023-03-28 14:05:48.791,4.8747,1.49481e+06,1.39262e+07,2.23817e+08,103340,184035,2.47292e+07,16337.5,2.64271e+08,1.49465e+06,1.3926e+07,2.23354e+08,86233.7,183579,2.47291e+07,16337.6,2.63788e+08,0.107328,16.0386,0.00619226,0.0131825,1.77574,0.00117317,38.8,82.0549,383991,2.26868,24.532,933.716,6.07785,
2023-03-28 14:05:49.767,5.8501,1.41609e+06,1.36011e+07,2.28921e+08,94728.9,237860,2.5653e+07,19120.3,2.69943e+08,1.41593e+06,1.36009e+07,2.28458e+08,77621.5,237404,2.56529e+07,19120.4,2.69459e+08,0.104106,16.7973,0.0057071,0.0174551,1.88612,0.00140582,38.8,79.5934,402154,2.09105,32.4928,991.761,7.28405,
2023-03-28 14:05:50.741,6.8249,1.35247e+06,1.40251e+07,2.25033e+08,86767.6,316458,2.69007e+07,21723.3,2.67736e+08,1.35231e+06,1.40249e+07,2.24569e+08,69659.4,316002,2.69006e+07,21723.4,2.67252e+08,0.0964221,16.0122,0.00496684,0.0225315,1.91806,0.00154892,38.8,73.7207,383356,1.81993,41.955,1008.56,8.02647,
2023-03-28 14:05:51.716,7.7998,1.29024e+06,1.40315e+07,2.21267e+08,84065.5,396908,2.70416e+07,24016.3,2.64135e+08,1.29008e+06,1.40313e+07,2.20803e+08,66956.4,396452,2.70415e+07,24016.3,2.63651e+08,0.0919424,15.7364,0.00477192,0.0282548,1.92722,0.00171162,38.8,70.2972,376752,1.7486,52.6274,1013.39,8.87068,
2023-03-28 14:05:52.692,8.7751,1.25195e+06,1.38729e+07,2.23394e+08,79646.6,473499,2.61577e+07,26860.3,2.65256e+08,1.25179e+06,1.38727e+07,2.2293e+08,62536.6,473043,2.61576e+07,26860.4,2.64773e+08,0.090234,16.0697,0.00450789,0.0340989,1.88555,0.00193621,38.8,68.9925,384731,1.65195,63.5314,991.478,10.0359,
2023-03-28 14:05:53.666,9.75,1.19645e+06,1.38104e+07,2.18825e+08,75047.9,543842,2.68241e+07,29204,2.61304e+08,1.19629e+06,1.38102e+07,2.18361e+08,57937.1,543386,2.6824e+07,29204.1,2.6082e+08,0.0866234,15.8115,0.00419522,0.0393466,1.94233,0.00211467,38.8,66.2334,378548,1.53746,73.3303,1021.34,10.9622,
2023-03-28 14:05:54.641,10.7248,1.15332e+06,1.40693e+07,2.28989e+08,71624.7,621064,2.76004e+07,29614.7,2.72534e+08,1.15316e+06,1.40691e+07,2.28525e+08,54513.1,620608,2.76003e+07,29614.8,2.72051e+08,0.081964,16.2431,0.00387467,0.0441115,1.96177,0.00210496,38.8,62.6721,388879,1.42006,82.2348,1031.57,10.9132,
2023-03-28 14:05:55.616,11.6997,1.16528e+06,1.38885e+07,2.23814e+08,68707.3,681043,2.74179e+07,31928.7,2.67067e+08,1.16512e+06,1.38883e+07,2.2335e+08,51594.8,680587,2.74178e+07,31928.8,2.66583e+08,0.0838927,16.0819,0.003715,0.0490045,1.97417,0.00229898,38.8,64.1484,385020,1.36162,91.3834,1038.1,11.9205,
2023-03-28 14:05:56.591,12.675,1.13006e+06,1.41093e+07,2.2522e+08,64328.7,715874,2.72962e+07,31467.9,2.68567e+08,1.1299e+06,1.41091e+07,2.24756e+08,47215.4,715418,2.72962e+07,31468,2.68083e+08,0.0800833,15.9299,0.00334645,0.0507062,1.93465,0.00223034,38.8,61.237,381377,1.22661,94.5844,1017.32,11.566,
2023-03-28 14:05:57.566,13.6499,1.00811e+06,1.4025e+07,2.17308e+08,61984.3,753470,2.72239e+07,32770.3,2.60413e+08,1.00795e+06,1.40249e+07,2.16844e+08,44870.1,753014,2.72238e+07,32770.4,2.59929e+08,0.0718689,15.4614,0.00319933,0.0536914,1.94111,0.00233659,38.8,54.957,370160,1.17275,100.182,1020.73,12.1185,
