G_NIST610_4
Absolute Time,Elapsed Time,Mg24,Ca43,Ca44,Mn55,Zn66,Sr88,Ba137,TotalBeam,Mg24_CPS,Ca43_CPS,Ca44_CPS,Mn55_CPS,Zn66_CPS,Sr88_CPS,Ba137_CPS,TotalBeam_CPS,Mg24_CPS/Ca43_CPS,Ca44_CPS/Ca43_CPS,Mn55_CPS/Ca43_CPS,Zn66_CPS/Ca43_CPS,Sr88_CPS/Ca43_CPS,Ba137_CPS/Ca43_CPS,InternalStandard_Ca,Mg24_ppm,Ca44_ppm,Mn55_ppm,Zn66_ppm,Sr88_ppm,Ba137_ppm,
2023-03-28 17:03:49.798,0,208952,94565.6,1.9945e+06,459107,125829,449218,44525.8,3.3767e+06,208813,94584.6,1.66013e+06,444449,125470,449119,44525.4,3.02712e+06,2.20769,17.5518,4.69896,1.32654,4.74833,0.470747,8.2144,447.807,82875.1,451.194,530.082,535.653,509.565,
2023-03-28 17:03:50.773,0.9749,191757,98786.8,2.07434e+06,444700,108388,423266,43633.6,3.38487e+06,191618,98805.4,1.73986e+06,430040,108029,423167,43633.2,3.03518e+06,1.93935,17.609,4.3524,1.09335,4.28283,0.441607,8.2144,393.382,83144.4,417.912,436.909,483.167,478.021,
2023-03-28 17:03:51.748,1.9502,181338,91952.9,1.95468e+06,458789,106517,429374,39323.6,3.26197e+06,181200,91971.3,1.62008e+06,444127,106158,429276,39323.1,2.91216e+06,1.97018,17.615,4.82898,1.15426,4.6675,0.427558,8.2144,399.639,83172.6,463.666,461.257,526.592,462.813,
2023-03-28 17:03:52.723,2.9251,187496,93192.2,1.89646e+06,416808,102311,430520,39012.9,3.1658e+06,187357,93210.3,1.56175e+06,402145,101952,430422,39012.4,2.81587e+06,2.01005,16.7551,4.31438,1.09379,4.61775,0.418542,8.2144,407.733,79111.8,414.25,437.1,521.008,453.052,
2023-03-28 17:03:53.698,3.8999,202979,94498.6,2.05059e+06,451003,109182,417057,36307.2,3.36162e+06,202841,94516.3,1.71576e+06,436337,108824,416958,36306.7,3.01157e+06,2.14609,18.1531,4.61653,1.15138,4.4115,0.384131,8.2144,435.334,85711.9,443.255,460.125,497.765,415.803,
2023-03-28 17:03:54.674,4.8753,192888,85054.6,1.9944e+06,433837,102880,418325,42180.1,3.26956e+06,192749,85072,1.65945e+06,419169,102522,418227,42179.6,2.9194e+06,2.26572,19.5064,4.92722,1.20512,4.91615,0.495811,8.2144,459.606,92101.4,473.08,481.612,554.737,536.689,
2023-03-28 17:03:55.648,5.8501,226344,95537.1,1.98662e+06,442899,117496,410165,35285.1,3.31435e+06,226206,95554.1,1.65156e+06,428229,117137,410067,35284.6,2.96406e+06,2.3673,17.284,4.48153,1.22587,4.29146,0.369263,8.2144,480.218,81607.6,430.282,489.916,484.275,399.707,
2023-03-28 17:03:56.623,6.825,194988,87699.8,2.00475e+06,414758,99351.6,418161,39884.8,3.25959e+06,194850,87716.6,1.66957e+06,400086,98993.4,418063,39884.3,2.90919e+06,2.22136,19.0337,4.56112,1.12856,4.76607,0.454695,8.2144,450.618,89868.3,437.918,451.033,537.863,492.181,
2023-03-28 17:03:57.599,7.8003,192565,92522.3,1.955e+06,454245,103427,412660,40355.9,3.25077e+06,192426,92538.8,1.61971e+06,439572,103069,412562,40355.4,2.90026e+06,2.07941,17.503,4.75013,1.11379,4.45826,0.436091,8.2144,421.828,82640.4,456.059,445.139,503.154,472.043,
2023-03-28 17:03:58.573,8.7752,211297,88034.7,1.80363e+06,428927,110235,414541,35605.7,3.09227e+06,211159,88050.8,1.46823e+06,414251,109877,414443,35605.2,2.74164e+06,2.39814,16.6748,4.70469,1.24789,4.70687,0.404371,8.2144,486.492,78729.5,451.69,498.742,531.241,437.706,
