Basline_6
Absolute Time,Elapsed Time,Mg24,Ca43,Ca44,Mn55,Zn66,Sr88,Ba137,TotalBeam,Mg24_CPS,Ca43_CPS,Ca44_CPS,Mn55_CPS,Zn66_CPS,Sr88_CPS,Ba137_CPS,TotalBeam_CPS,Mg24_CPS/Ca43_CPS,Ca44_CPS/Ca43_CPS,Mn55_CPS/Ca43_CPS,Zn66_CPS/Ca43_CPS,Sr88_CPS/Ca43_CPS,Ba137_CPS/Ca43_CPS,InternalStandard_Ca,Mg24_ppm,Ca44_ppm,Mn55_ppm,Zn66_ppm,Sr88_ppm,Ba137_ppm,
2023-05-23 13:38:59.540,0,620.01,133.33,852946,46804.2,503.34,1300.05,10,902317,407.645,-28.2178,-7879.02,-365.506,-22.8708,1259.93,-5.18154,-6850.26,-14.4464,279.222,12.953,0.810511,-44.6502,0.183627,,,,,,,,
2023-05-23 13:39:00.515,0.9749,180,200,878808,46774.2,586.68,150,20,926719,-32.4991,38.4461,16904.5,-401.422,60.4187,109.888,4.8564,16466.6,-0.845316,439.694,-10.4412,1.57152,2.85823,0.126317,,,,,,,,
2023-05-23 13:39:01.490,1.9497,270,233.33,871973,47643,543.34,0,20,920683,57.3664,71.7702,8959.6,461.363,17.0283,-40.1024,4.90077,9313.61,0.799307,124.837,6.42834,0.237262,-0.558761,0.0682842,,,,,,,,
2023-05-23 13:39:02.465,2.9251,120,466.67,833102,46704,470.01,790.02,10,881663,-92.7683,305.104,-31054.4,-483.855,-56.352,749.928,-5.04831,-30856.4,-0.304054,-101.783,-1.58587,-0.184698,2.45794,-0.0165462,,,,,,,,
2023-05-23 13:39:03.440,3.9,150,0,864932,47526,430,490.01,20,913548,-62.9031,-161.571,-398.586,331.772,-96.4123,449.928,5.00901,-152.535,0.389321,2.46694,-2.05341,0.596717,-2.78471,-0.0310019,,,,,,,,
2023-05-23 13:39:04.415,4.8748,200,133.33,863852,46573.7,556.67,40,20,911375,-13.0381,-28.2466,-2683.26,-627.183,30.2075,-0.0714299,5.07259,-3537.08,0.46158,94.994,22.2039,-1.06942,0.0025288,-0.179582,,,,,,,,
